"nro_registro_interno","fecha_ingreso_denuncia","id_tema","subtema","id_referido_tipo","id_provincia","id_genero","edad_aparente","id_embarazada"
"3584554505","1/2/2020","1","37","1","1","2","60","0"
"6584654505","1/15/2020","1","37","1","1","2","","0"
"4505654505","1/16/2020","1","37","1","1","2","","0"
"565654505","1/23/2020","1","37","1","1","2","","0"
"8465654505","1/23/2020","1","37","1","1","2","","0"
"3594754505","1/27/2020","1","37","1","1","2","","0"
"1535754505","2/1/2020","1","37","1","1","2","","0"
"7555754505","2/4/2020","1","37","1","1","2","","0"
"4575754505","2/7/2020","1","37","1","1","2","","0"
"3545845505","2/15/2020","1","37","1","1","2","35","0"
"1584945505","2/20/2020","1","37","1","1","2","45","0"
"3584945505","2/20/2020","1","37","1","1","2","","0"
"3535945505","2/26/2020","1","37","1","1","2","35","0"
"4545945505","2/27/2020","1","37","1","1","2","","0"
"4555945505","2/28/2020","1","37","1","1","2","","0"
"5555945505","2/28/2020","1","37","1","1","2","","0"
"6555945505","2/28/2020","1","37","1","1","2","","0"
"8484055505","3/3/2020","1","37","1","1","2","28","0"
"1545055505","3/7/2020","1","37","1","1","2","","0"
"8455055505","3/9/2020","1","37","1","1","2","","0"
"1565055505","3/10/2020","1","37","1","1","2","","0"
"6565055505","3/10/2020","1","37","1","1","2","","0"
"5594155505","3/12/2020","1","37","1","1","2","","0"
"7525155505","3/16/2020","1","37","1","1","2","72","0"
"7525155505","3/16/2020","1","37","1","1","2","","0"
"3545155505","3/18/2020","1","37","1","1","2","","0"
"9475255505","4/3/2020","1","37","1","1","2","35","0"
"5505355505","4/6/2020","1","37","1","1","2","45","0"
"8415355505","4/7/2020","1","37","1","1","2","","0"
"6515455505","4/19/2020","1","37","1","1","2","","0"
"1545455505","4/21/2020","1","37","1","1","2","42","0"
"3515555505","4/28/2020","1","37","1","1","2","58","0"
"9415555505","4/28/2020","1","37","1","1","2","","0"
"9435555505","4/29/2020","1","37","1","1","2","","0"
"4565555505","5/4/2020","1","37","1","1","2","","0"
"3505655505","5/10/2020","1","37","1","1","2","21","0"
"8445755505","5/24/2020","1","37","1","1","2","","0"
"5555846505","6/8/2020","1","37","1","1","2","","0"
"3584946505","6/13/2020","1","37","1","1","2","","0"
"4505946505","6/18/2020","1","37","1","1","2","19","0"
"515946505","6/19/2020","1","37","1","1","2","","0"
"5515946505","6/19/2020","1","37","1","1","2","34","0"
"2535946505","6/24/2020","1","37","1","1","2","","0"
"2535946505","6/24/2020","1","37","1","1","2","","0"
"4545946505","6/25/2020","1","37","1","1","2","","0"
"7565056505","7/17/2020","1","37","1","1","2","","0"
"8445156505","7/29/2020","1","37","1","1","2","12","0"
"1594256505","8/1/2020","1","37","1","1","2","50","0"
"9415256505","8/3/2020","1","37","1","1","2","","0"
"5535256505","8/4/2020","1","37","1","1","2","33","0"
"1575256505","8/7/2020","1","37","1","1","2","","0"
"3505356505","8/10/2020","1","37","1","1","2","","0"
"9455456505","8/18/2020","1","37","1","1","2","50","0"
"1575456505","8/19/2020","1","37","1","1","2","","0"
"7594556505","8/20/2020","1","37","1","1","2","","0"
"5515556505","8/21/2020","1","37","1","1","2","","0"
"9425556505","8/21/2020","1","37","1","1","2","","0"
"5555656505","8/26/2020","1","37","1","1","2","","0"
"3594847505","9/2/2020","1","37","1","1","2","","0"
"1525057505","9/12/2020","1","37","1","1","2","","0"
"9465157505","9/19/2020","1","37","1","1","2","","0"
"4555357505","9/29/2020","1","37","1","1","2","32","0"
"584457505","9/30/2020","1","37","1","1","2","","0"
"2515457505","10/2/2020","1","37","1","1","2","","0"
"5515457505","10/3/2020","1","37","1","1","2","50","0"
"535657505","10/13/2020","1","37","1","1","2","","0"
"4575657505","10/16/2020","1","37","1","1","2","","0"
"594848415","10/24/2020","1","37","1","1","2","","0"
"594848415","10/24/2020","1","37","1","1","2","","0"
"3525848415","10/26/2020","1","37","1","1","2","","0"
"4575948415","11/3/2020","1","37","1","1","2","","0"
"2535158415","11/10/2020","1","37","1","1","2","50","0"
"5545158415","11/11/2020","1","37","1","1","2","","0"
"1584358415","11/17/2020","1","37","1","1","2","50","0"
"8475358415","11/21/2020","1","37","1","1","2","","0"
"8455658415","12/5/2020","1","37","1","1","2","","0"
"515758415","12/9/2020","1","37","1","1","2","","0"
"8445949415","12/19/2020","1","37","1","1","2","65","0"
"4555949415","12/20/2020","1","37","1","1","2","50","0"
"3594159415","12/28/2020","1","37","1","1","2","40","0"
"7505259415","1/5/2021","1","37","1","1","2","40","0"
"535259415","1/6/2021","1","37","1","1","2","51","0"
"575559415","1/22/2021","1","37","1","1","2","45","0"
"7555250515","2/20/2021","1","37","1","1","2","50","0"
"2565350515","2/24/2021","1","37","1","1","2","45","0"
"8435451515","4/7/2021","1","37","1","1","2","60","0"
"6565551515","4/12/2021","1","37","1","1","2","47","0"
"7525651515","4/14/2021","1","37","1","1","2","0","0"
"594452515","5/13/2021","1","37","1","1","2","34","0"
"1535552515","5/18/2021","1","37","1","1","2","70","0"
"5525552515","5/18/2021","1","37","1","1","2","34","0"
"2594652515","5/20/2021","1","37","1","1","2","60","0"
"9405652515","5/21/2021","1","37","1","1","2","60","0"
"1535652515","5/22/2021","1","37","1","1","2","40","0"
"1535652515","5/22/2021","1","37","1","1","2","14","0"
"515752515","5/24/2021","1","37","1","1","2","40","0"
"4565053515","6/7/2021","1","37","1","1","2","50","0"
"3575353515","6/19/2021","1","37","1","1","2","50","0"
"4545845515","8/8/2021","1","37","1","1","2","24","0"
"584355515","8/24/2021","1","37","1","1","2","0","0"
"9415846515","9/11/2021","1","37","1","1","2","57","0"
"4525056515","9/19/2021","1","37","1","1","2","66","0"
"515156515","9/23/2021","1","37","1","1","2","0","0"
"5594656515","10/11/2021","1","37","1","1","2","40","0"
"5565457515","11/10/2021","1","37","1","1","2","55","0"
"4584557515","11/11/2021","1","37","1","1","2","47","0"
"584657515","11/14/2021","1","37","1","1","2","50","0"
"2535657515","11/16/2021","1","37","1","1","2","30","0"
"3505848425","11/22/2021","1","37","1","1","2","40","0"
"8405848425","11/22/2021","1","37","1","1","2","30","0"
"4505948425","11/26/2021","1","37","1","1","2","32","0"
"6515948425","11/27/2021","1","37","1","1","2","30","0"
"6515948425","11/27/2021","1","37","1","1","2","30","0"
"3584058425","11/29/2021","1","37","1","1","2","50","0"
"4594058425","11/29/2021","1","37","1","1","2","0","0"
"2505058425","11/30/2021","1","37","1","1","2","0","0"
"7575358425","12/14/2021","1","37","1","1","2","50","0"
"575458425","12/17/2021","1","37","1","1","2","30","0"
"1584558425","12/18/2021","1","37","1","1","2","34","0"
"3594558425","12/18/2021","1","37","1","1","2","29","0"
"4545558425","12/20/2021","1","37","1","1","2","40","0"
"6565658425","12/25/2021","1","37","1","1","2","40","0"
"8415755505","5/20/2020","1","37","1","2","2","","0"
"4565450515","2/28/2021","1","37","1","3","2","40","0"
"7565450515","2/28/2021","1","37","1","3","2","42","0"
"5565256505","8/7/2020","1","37","1","4","2","42","0"
"4594356505","8/9/2020","1","37","1","4","2","","0"
"9465554505","1/11/2020","1","37","1","5","2","50","0"
"8484755505","5/18/2020","1","37","1","5","2","","0"
"7515946505","6/20/2020","1","37","1","5","2","","0"
"7515946505","6/20/2020","1","37","1","5","2","","0"
"6505356505","8/11/2020","1","37","1","5","2","50","0"
"5555456505","8/18/2020","1","37","1","5","2","","0"
"8455456505","8/18/2020","1","37","1","5","2","","0"
"1535656505","8/25/2020","1","37","1","5","2","","0"
"535656505","8/25/2020","1","37","1","5","2","35","0"
"2545656505","8/26/2020","1","37","1","5","2","","0"
"8445949415","12/19/2020","1","37","1","5","2","75","0"
"4515459415","1/15/2021","1","37","1","5","2","33","0"
"4575752515","5/27/2021","1","37","1","5","2","0","0"
"6584843515","5/28/2021","1","37","1","5","2","50","0"
"7525844515","7/5/2021","1","37","1","5","2","65","0"
"4545154515","7/14/2021","1","37","1","5","2","72","0"
"3525055515","8/15/2021","1","37","1","5","2","26","0"
"594554505","1/2/2020","1","37","1","7","2","","0"
"9415754505","1/29/2020","1","37","1","7","2","","0"
"3535255505","3/28/2020","1","37","1","7","2","","0"
"2555355505","4/12/2020","1","37","1","7","2","50","0"
"5515555505","4/28/2020","1","37","1","7","2","70","0"
"5515555505","4/28/2020","1","37","1","7","2","50","0"
"584056505","7/1/2020","1","37","1","7","2","","0"
"7584056505","7/2/2020","1","37","1","7","2","","0"
"1525056505","7/7/2020","1","37","1","7","2","","0"
"1525056505","7/7/2020","1","37","1","7","2","","0"
"3525056505","7/8/2020","1","37","1","7","2","","0"
"7525056505","7/8/2020","1","37","1","7","2","","0"
"5575256505","8/7/2020","1","37","1","7","2","","0"
"7505356505","8/11/2020","1","37","1","7","2","","0"
"1575157505","9/19/2020","1","37","1","7","2","","0"
"9405948415","10/30/2020","1","37","1","7","2","","0"
"2505948415","10/31/2020","1","37","1","7","2","","0"
"3575058415","11/8/2020","1","37","1","7","2","76","0"
"3575058415","11/8/2020","1","37","1","7","2","45","0"
"4565758415","12/11/2020","1","37","1","7","2","37","0"
"8475758415","12/12/2020","1","37","1","7","2","37","0"
"3584059415","12/21/2020","1","37","1","7","2","50","0"
"7545059415","12/25/2020","1","37","1","7","2","33","0"
"8435459415","1/15/2021","1","37","1","7","2","50","0"
"8494050515","2/8/2021","1","37","1","7","2","0","0"
"555150515","2/15/2021","1","37","1","7","2","50","0"
"555150515","2/15/2021","1","37","1","7","2","50","0"
"3555456515","10/5/2021","1","37","1","7","2","37","0"
"6515754505","1/30/2020","1","37","1","8","2","","0"
"5515945505","2/25/2020","1","37","1","8","2","","0"
"8415055505","3/5/2020","1","37","1","8","2","","0"
"8435055505","3/6/2020","1","37","1","8","2","","0"
"535056505","7/9/2020","1","37","1","8","2","","0"
"6555056505","7/16/2020","1","37","1","8","2","34","0"
"3555357505","9/29/2020","1","37","1","8","2","","0"
"7565056515","9/21/2021","1","37","1","8","2","63","0"
"3594657515","11/14/2021","1","37","1","8","2","0","0"
"535755505","5/23/2020","1","37","1","9","2","70","0"
"2515846505","6/4/2020","1","37","1","9","2","","0"
"8484156505","7/20/2020","1","37","1","9","2","","0"
"515841515","3/15/2021","1","37","1","9","2","50","0"
"7584941515","3/17/2021","1","37","1","9","2","50","0"
"4594654515","7/31/2021","1","37","1","9","2","50","0"
"7505654515","8/1/2021","1","37","1","9","2","50","0"
"7565754505","2/6/2020","1","37","1","10","2","","0"
"5584256515","9/26/2021","1","37","1","10","2","34","0"
"3594845505","2/9/2020","1","37","1","11","2","","0"
"7594357505","9/26/2020","1","37","1","12","2","","0"
"4525754505","2/1/2020","1","37","1","14","2","","0"
"4535754505","2/2/2020","1","37","1","14","2","","0"
"4505845505","2/11/2020","1","37","1","14","2","33","0"
"8455845505","2/16/2020","1","37","1","14","2","","0"
"594155505","3/12/2020","1","37","1","14","2","","0"
"4505355505","4/6/2020","1","37","1","14","2","","0"
"9475555505","5/4/2020","1","37","1","14","2","","0"
"584755505","5/18/2020","1","37","1","14","2","50","0"
"2535156505","7/28/2020","1","37","1","14","2","50","0"
"5515159415","12/30/2020","1","37","1","14","2","0","0"
"3525551515","4/10/2021","1","37","1","14","2","47","0"
"4584255515","8/20/2021","1","37","1","14","2","50","0"
"4505255515","8/21/2021","1","37","1","14","2","50","0"
"584757515","11/18/2021","1","37","1","14","2","0","0"
"4505155505","3/13/2020","1","37","1","15","2","30","0"
"6505846505","6/3/2020","1","37","1","15","2","43","0"
"3555656505","8/26/2020","1","37","1","15","2","","0"
"4535150515","2/15/2021","1","37","1","15","2","24","0"
"9425152515","5/3/2021","1","37","1","15","2","40","0"
"7575754505","2/7/2020","1","37","1","16","2","","0"
"545255505","3/30/2020","1","37","1","16","2","","0"
"2575555505","5/4/2020","1","37","1","16","2","","0"
"1575550515","3/5/2021","1","37","1","16","2","36","0"
"505256505","8/2/2020","1","37","1","17","2","","0"
"6565250515","2/20/2021","1","37","1","17","2","55","0"
"8484353515","6/15/2021","1","37","1","17","2","50","0"
"515947515","10/22/2021","1","37","1","17","2","50","0"
"1525157515","10/30/2021","1","37","1","17","2","50","0"
