"","Fecha_de_ingreso_denuncia","nro_registro_interno","id_tema","subtema","id_referido_tipo","id_provincia","id_genero","edad_aparente","id_embarazada"
"93",2020-01-28,9405652515,1,37,1,1,2,60,0
"94",2020-01-29,1535652515,1,37,1,1,2,40,0
"95",2020-01-29,1535652515,1,37,1,1,2,14,0
"96",2020-01-29,515752515,1,37,1,1,2,40,0
"97",2020-01-29,4565053515,1,37,1,1,2,50,0
"98",2020-01-29,3575353515,1,37,1,1,2,50,0
"99",2020-01-29,4545845515,1,37,1,1,2,24,0
"100",2020-01-30,584355515,1,37,1,1,2,0,0
"101",2020-01-30,9415846515,1,37,1,1,2,57,0
"102",2020-01-30,4525056515,1,37,1,1,2,66,0
"103",2020-01-30,515156515,1,37,1,1,2,0,0
"104",2020-01-30,5594656515,1,37,1,1,2,40,0
"105",2020-01-31,5565457515,1,37,1,1,2,55,0
"106",2020-01-31,4584557515,1,37,1,1,2,47,0
"107",2020-01-31,584657515,1,37,1,1,2,50,0
"108",2020-01-31,2535657515,1,37,1,1,2,30,0
"109",2020-01-31,3505848425,1,37,1,1,2,40,0
"110",2020-01-31,8405848425,1,37,1,1,2,30,0
"111",2020-01-31,4505948425,1,37,1,1,2,32,0
"112",2020-01-31,6515948425,1,37,1,1,2,30,0
"113",2020-01-31,6515948425,1,37,1,1,2,30,0
"114",2020-02-01,3584058425,1,37,1,1,2,50,0
"115",2020-02-01,4594058425,1,37,1,1,2,0,0
"116",2020-02-01,2505058425,1,37,1,1,2,0,0
"117",2020-02-01,7575358425,1,37,1,1,2,50,0
"118",2020-02-02,575458425,1,37,1,1,2,30,0
"119",2020-02-02,1584558425,1,37,1,1,2,34,0
"120",2020-02-02,3594558425,1,37,1,1,2,29,0
"121",2020-02-02,4545558425,1,37,1,1,2,40,0
"122",2020-02-02,6565658425,1,37,1,1,2,40,0
"123",2020-02-03,8415755505,1,37,1,2,2,NA,0
"124",2020-02-03,4565450515,1,37,1,3,2,40,0
"125",2020-02-03,7565450515,1,37,1,3,2,42,0
"126",2020-02-03,5565256505,1,37,1,4,2,42,0
"127",2020-02-03,4594356505,1,37,1,4,2,NA,0
"128",2020-02-03,9465554505,1,37,1,5,2,50,0
"129",2020-02-03,8484755505,1,37,1,5,2,NA,0
"130",2020-02-03,7515946505,1,37,1,5,2,NA,0
"131",2020-02-04,7515946505,1,37,1,5,2,NA,0
"132",2020-02-05,6505356505,1,37,1,5,2,50,0
"133",2020-02-05,5555456505,1,37,1,5,2,NA,0
"134",2020-02-06,8455456505,1,37,1,5,2,NA,0
"135",2020-02-07,1535656505,1,37,1,5,2,NA,0
"136",2020-02-07,535656505,1,37,1,5,2,35,0
"137",2020-02-07,2545656505,1,37,1,5,2,NA,0
"138",2020-02-07,8445949415,1,37,1,5,2,75,0
"139",2020-02-07,4515459415,1,37,1,5,2,33,0
"140",2020-02-07,4575752515,1,37,1,5,2,0,0
"141",2020-02-07,6584843515,1,37,1,5,2,50,0
